workload,mesi_latency,crdt_latency,latency_reduction_pct,mesi_traffic,crdt_traffic,simulations
BERT_BASE,119.86,2.00,98.33,1574299,756213,54
DIFFUSION,126.92,2.00,98.42,2120537,990000,8
GPT2,119.06,2.00,98.32,1781956,827200,24
GPT3_SCALE,126.98,2.00,98.42,2058561,959200,36
LLAMA,124.82,2.00,98.40,1675291,902880,20
MIXTRAL,127.23,2.00,98.43,1360293,633600,10
RESNET50,114.91,2.00,98.26,1410973,670560,20
SAM,126.94,2.00,98.42,1832114,855360,10
VIT,126.58,2.00,98.42,1946768,910800,8
WHISPER,126.54,2.00,98.42,1466736,686400,6
